Cut-Off,# Top Pred in Cut-Off,Ratio: Top Pred in Cut-Off,# Top Diff in Cut-Off,Ratio: Top Diff in Cut-Off,# Samples
196,183,0.93,190,0.97,211
197,184,0.93,192,0.97,211
198,186,0.94,194,0.98,211
199,187,0.94,195,0.98,211
200,189,0.94,197,0.98,211
201,191,0.95,198,0.99,211
202,193,0.96,199,0.99,211
203,195,0.96,200,0.99,211
204,197,0.97,202,0.99,211
205,199,0.97,202,0.99,211
206,201,0.98,204,0.99,211
207,203,0.98,205,0.99,211
208,205,0.99,206,0.99,211
209,207,0.99,208,1.0,211
210,209,1.0,209,1.0,211
211,211,1.0,211,1.0,211
